date,ENGLAND,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
06-Dec-20,"1,087",84,242,259,172,167,105,58
07-Dec-20,"1,109",88,244,262,175,179,107,54
08-Dec-20,"1,118",86,249,272,173,170,113,55
09-Dec-20,"1,094",89,241,270,160,160,119,55
10-Dec-20,"1,110",94,256,275,151,161,120,53
11-Dec-20,"1,117",95,261,279,149,162,120,51
12-Dec-20,"1,087",93,256,261,139,167,125,46
13-Dec-20,"1,123",99,256,278,147,165,125,53
14-Dec-20,"1,127",103,262,257,145,161,143,56
15-Dec-20,"1,159",103,292,251,144,162,150,57
16-Dec-20,"1,163",108,291,254,142,159,151,58
17-Dec-20,"1,188",113,301,257,145,159,159,54
18-Dec-20,"1,190",116,311,246,137,159,165,56
19-Dec-20,"1,239",124,322,254,152,162,168,57
20-Dec-20,"1,267",121,355,243,149,156,183,60
21-Dec-20,"1,327",120,378,257,149,165,196,62
22-Dec-20,"1,339",127,400,252,154,153,197,56
23-Dec-20,"1,374",120,411,260,148,164,209,62
24-Dec-20,"1,427",127,462,264,139,156,217,62
25-Dec-20,"1,437",130,455,271,139,164,220,58
26-Dec-20,"1,498",130,489,284,149,161,229,56
27-Dec-20,"1,556",146,520,279,144,169,247,51
28-Dec-20,"1,641",156,556,278,159,175,258,59
29-Dec-20,"1,728",175,599,285,156,171,284,58
30-Dec-20,"1,854",197,640,306,166,188,290,67
31-Dec-20,"1,899",187,664,305,169,198,301,75
01-Jan-21,"1,940",199,657,312,179,195,324,74
02-Jan-21,"2,017",208,713,324,177,183,333,79
03-Jan-21,"2,181",221,772,359,189,211,346,83
